西门子工业自动化产品（成都）,外资（欧美）,500-1000人,2023-04-10 15:09:43,生产部 倒班技术主管（SMT/自动化/PLC应用）,成都,"['3-4年', '本科', '奖金丰厚', '交通补助', '提供班车', '补充医疗保险', '定期体检', '带薪年假', '五险一金', '周末双休', '交通补贴']",1.2-1.8万,https://jobs.51job.com/all/coUjYBY187DzdTPw1mUzU.html
成都微创自控工程,民营,50-150人,2023-04-11 16:50:14,PLC工程师,成都·金牛区,"['2年', '大专', '电气工程师', 'plc', '自动化', '电气自动化', 'plc编程', '工程师', '软件', '五险一金', '节日福利', '专业培训', '交通补贴']",0.8-1万,https://jobs.51job.com/all/coBGQAbFIyVm4FZAVhBWM.html
昆山信达自动化工程,民营,50-150人,2023-04-10 10:07:34,PLC工程师,重庆·渝北区,"['1年', '大专', '电气', '电气工程师', 'PLC调试', 'PLC', '电气设计']",1-1.3万,https://jobs.51job.com/all/coVDdQN1I3Aj9TPgNiAGE.html
中国船舶重工集团海装风电,国企,1000-5000人,2023-04-11 15:30:18,PLC软件工程师,重庆·渝北区,"['2年', '本科', '五险一金', '交通补贴', '年终奖金', '绩效奖金', '定期体检', '通讯补贴', '出差补贴', '专业培训', '企业年金', '补充医疗保险']",1-1.5万,https://jobs.51job.com/all/coA2BWMV84DzIPawxuAWM.html
四川红光汽车机电,民营,500-1000人,2023-04-10 10:51:22,PLC电气工程师,成都·郫都区,"['3-4年', '大专', '电气技术', '五险一金', '专业培训', '带薪年假', '绩效奖金']",4.5-8千,https://jobs.51job.com/all/coB2JXNABrBj0Pa1AyVTg.html
昆山信达自动化工程,民营,50-150人,2023-04-10 10:07:33,PLC主管,重庆·渝北区,"['5-7年', '大专', '调试', '电气', '机电', '机械', 'PLC', 'PLC程序', '五险一金', '专业培训', '弹性工作', '定期体检', '年终奖金']",1.5-2万·13薪,https://jobs.51job.com/all/coVDdQN1I3Aj9TPgNiAGE.html
湖北凯乐仕通达科技,民营,500-1000人,2023-04-11 10:08:04,PLC电气工程师,昆明·盘龙区,"['5-7年', '本科', '电气', '绩效奖金', '专业培训', '员工旅游', '五险一金', '年终奖金', '定期体检', '做五休二', '餐饮补贴', '通讯补贴']",9千-1.4万,https://jobs.51job.com/all/coBmJRM1U1DzFUNFM0UDQ.html
深圳融科科技有限公司成都,民营,,2023-04-10 08:54:15,PLC工程师,成都·高新区,"['2年', '大专', '自控工程师', '自动化', '电气自动化', 'PLC', '五险一金', '补充医疗保险', '补充公积金', '员工旅游', '餐饮补贴', '通讯补贴', '年终奖金', '定期体检', '项目绩效', '绩效奖金']",6千-1.2万,https://jobs.51job.com/all/coUzNUM1QzBTIAbAZsB2s.html
成都沃特塞恩电子技术,民营,150-500人,2023-04-10 17:04:48,PLC工程师,成都·双流区,"['3-4年', '本科', 'PLC工程师', 'PLC', '五险一金', '节日福利', '周末双休', '加班补助', '全勤奖', '生日礼物', '带薪年假', '年终奖金', '免费班车', '提供住宿']",8千-1.2万,https://jobs.51job.com/all/coAGJRMFE1AT9SMgNgVDg.html
昆山信达自动化工程,民营,50-150人,2023-04-10 10:07:34,PLC助理工程师,重庆·渝北区,"['无需经验', '大专', '电气', '电气工程师', 'PLC调试', 'PLC', '电气设计', '电气调试']",5-8千,https://jobs.51job.com/all/coVDdQN1I3Aj9TPgNiAGE.html
上海怡申科技,民营,150-500人,2023-04-10 16:53:37,技术工程师/PLC工程师,成都·高新区,"['3-4年', '大专', '五险一金', '交通补贴', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '股票期权']",6-8千,https://jobs.51job.com/all/coA2ddPFU3VmpVNFE3AWQ.html
成都宁水科技,民营,50-150人,2023-04-11 09:51:49,PLC电气工程师,成都·新都区,"['2年', '大专', '专业培训', '绩效奖金', '补充医疗保险', '年终奖金', '员工旅游']",7千-1万,https://jobs.51job.com/all/coUTUHZQJiBzgBYAJkVjA.html
成都森川科技,民营,50-150人,2023-03-20 09:02:17,PLC工程师,成都·高新区,"['2年', '大专', 'PLC工程师', '周末双休', '节日福利', '专业培训', '绩效奖金', '带薪年假', '五险一金']",5千-1万,https://jobs.51job.com/all/coUzcBYF49AzsCb1Q3XTA.html
博众精工科技,民营,5000-10000人,2023-03-27 14:00:22,PLC工程师,成都·崇州市,"['3-4年', '大专', 'plc', '电气工程师', '上位机', '工控机', '五险一金', '包住宿', '包吃', '节日福利']",9千-1.8万,https://jobs.51job.com/all/coAWVVNgBjUmtSPgxpVTg.html
成都晟海航天通信技术,民营,少于50人,2023-02-28 13:00:16,PLC工程师,成都·成华区,"['3-4年', '大专', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '年终奖金']",8千-1.6万·13薪,https://jobs.51job.com/all/coUjIBYAJoAzsCZQxqBmE.html
重庆智能机器人研究院,事业单位,50-150人,2022-10-08 14:44:50,电气工程师（PLC),重庆·北碚区,"['2年', '本科', '周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '餐饮补贴', '通讯补贴', '高温补贴', '婚育津贴', '年度旅游']",7-8.5千,https://jobs.51job.com/all/coCGoBY1U0Vm8EZFcxVzo.html
四川安井食品,民营,500-1000人,2023-03-27 17:00:19,PLC工程师,资阳,"['2年', '大专', '五险一金', '包住宿', '高温补贴', '年终奖金']",6-9千,https://jobs.51job.com/all/coVTYBYFA6BDxWMQBlAWw.html
重庆策威机械,民营,,2023-04-10 16:00:20,PLC工程师,重庆·九龙坡区,"['无需经验', '大专', '五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']",5千-1万,https://jobs.51job.com/all/coBmdTMFEwDzQCblM0UjU.html
广东德尔智慧科技,民营,150-500人,2023-03-26 18:00:11,PLC自控工程师,宜宾,"['5-7年', '大专', '自动化', '电气自动化', '电气设计', '自动控制', '三菱', '西门子', '自控', '台达', '净化', 'cad', '五险一金', '交通补贴', '餐饮补贴', '出国机会', '绩效奖金', '通讯补贴']",1-1.5万·13薪,https://jobs.51job.com/all/coVDFVMARlAThUNgNhXDg.html
重庆领联智能科技,民营,少于50人,2023-03-12 09:00:14,PLC上位机开发工程师,重庆·巴南区,"['1年', '大专', 'sqlserver', 'PLC', '五险', '周末双休']",8千-1.2万,https://jobs.51job.com/all/coAGAGYgVvBDlUNwxpUDM.html
重庆拓新控股（集团）,民营,500-1000人,2023-03-31 09:00:19,PLC电气工程师,重庆·荣昌区,"['5-7年', '本科', 'PLC', '五险一金', '年终奖金', '双休']",1.2-2.4万,https://jobs.51job.com/all/coBGEBZwRuVGlVMwJjAmE.html
河北载仁建筑工程,民营,150-500人,2022-09-20 18:00:11,plc工程师-应届,贵阳·云岩区,"['无需经验', '大专', '电子', '建筑', '给排水', '暖通', '电气', '电工', '五险一金', '补充医疗保险', '补充公积金', '交通补贴', '绩效奖金', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '定期体检']",7.5-9千,https://jobs.51job.com/all/coB2dQMlAyUWpUNgxpXD4.html
成都新锐科技发展,民营,50-150人,2023-03-11 10:00:21,PLC电气工程师,成都·双流区,"['2年', '大专', '餐补', '团意险', '五险一金', '年终奖金', '交补']",6千-1.1万·14薪,https://jobs.51job.com/all/coAGVcMQNjU21VMlExVzQ.html
河北载仁建筑工程,民营,150-500人,2022-09-20 18:00:11,plc工程师-应届,贵阳·云岩区,"['无需经验', '大专', '电子', '建筑', '给排水', '暖通', '电气', '电工', '五险一金', '补充医疗保险', '补充公积金', '交通补贴', '绩效奖金', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '定期体检']",7.5-9千,https://jobs.51job.com/all/coB2dQMlAyUWpUNgxpXD4.html
成都博润传智信息技术,民营,50-150人,2023-04-05 15:00:12,工业自动化/PLC,成都·青羊区,"['2年', '大专', '电气', '维护', '电子', '调试', 'plc', '现场调试', '保养', 'plc编程', '五险一金', '员工旅游', '交通补贴', '年终奖金', '绩效奖金', '专业培训', '弹性工作', '定期体检']",4-7千,https://jobs.51job.com/all/coUzJXMAVuBTpRNABkUTU.html
重庆创锐电气技术,民营,少于50人,2023-02-06 15:17:59,五险一金PLC电气工程师,重庆·九龙坡区,"['1年', '大专', 'PLC工程师']",4.5-6千,https://jobs.51job.com/all/coA2MCbl8_BDsAY1Y9UDM.html
四川成焊宝玛焊接装备工程,民营,150-500人,2023-02-15 07:28:10,自动化PLC工程师,成都·成华区,"['1年', '本科', '触摸屏', '变频器', '电工', '包吃', '专业培训', '节日福利', '交通补贴']",8千-1.4万,https://jobs.51job.com/all/coVTdUNwdnDzFTNgJjAWY.html
成都超网实业,民营,50-150人,2023-02-15 07:39:04,自动化PLC工程师,成都·双流区,"['2年', '大专', '五险', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金']",8千-1.5万,https://jobs.51job.com/all/coVjIAYl84DzNVMVM0VzY.html
成都市正恒机电设备,民营,少于50人,2023-04-11 08:00:11,PLC工程师,成都·龙泉驿区,"['2年', '大专', 'plc', '自动化', '电气工程师', '电气设计', '五险一金', '带薪年假', '绩效奖金', '全勤奖', '餐饮补贴', '住房补贴', '通讯补贴', '交通补贴']",0.8-1万,https://jobs.51job.com/all/coBmRQMFU-BjpVMANmB2E.html
